,'year','municipality','province','population','latitude','longitude','surface_km2','surface_land_km2','surface_water_km2','university','flag_color1','flag_color2','flag_color3','flag_color4','shield_symbol_1','shield_symbol_2','shield_symbol_3','shieldholder_1','shieldholder_2','shield_crown','asylum_migrants','avg_household_income','avg_woz','avg_ww_ratio','murders'
1,2018,'Aa en Hunze','Drenthe',25243,53.010485,6.749528,278.9,276.4,2.5,0,'green','yellow',NA,NA,'crown','cross',NA,'deer','deer','crown',NA,NA,NA,NA,NA
2,2018,'Aalburg','Noord-Brabant',12859,51.751294,5.057085,53.2,50.4,2.8,0,'black','red','yellow',NA,'wheel','lion',NA,NA,NA,'crown',NA,NA,NA,NA,NA
3,2018,'Aalsmeer','Noord-Holland',30792,52.262164,4.761922,32.3,20.4,11.9,0,'red','green','black',NA,'lion','eel',NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2018,'Aalten','Gelderland',27030,51.926667,6.580678,97,96.5,0.5,0,'white','green',NA,NA,'tree','sword',NA,NA,NA,'crown',NA,NA,NA,NA,NA
5,2018,'Achtkarspelen','Friesland',28002,53.210357,6.153565,104,102.4,1.6,0,'white','red','green','blue','church',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
6,2018,'Alblasserdam','Zuid-Holland',19822,51.870337,4.670202,10.1,8.8,1.3,0,'yellow','red',NA,NA,'lion',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2018,'Albrandswaard','Zuid-Holland',25044,51.858068,4.423187,23.8,21.9,1.9,0,'red','yellow','white','blue','shield',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
8,2018,'Alkmaar','Noord-Holland',94906,52.632842,4.755037,31.2,29.3,1.9,0,'red','white',NA,NA,'stronghold',NA,NA,'lion','lion','laurel',NA,NA,NA,NA,NA
9,2018,'Almelo','Overijssel',72435,52.367027,6.668492,69.4,67.4,2,0,'blue','white',NA,NA,'diamond',NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
10,2018,'Almere','Flevoland',196156,52.350785,5.264702,248.8,129.6,119.2,0,'red','yellow','blue','white','cog','lily',NA,'seahorse','seahorse','crown',NA,NA,NA,NA,NA
11,2018,'Alphen aan den Rijn','Zuid-Holland',106809,52.111222,4.647251,132.5,126.6,5.9,0,'blue','white','yellow',NA,'star','stronghold',NA,'lion','lion','crown',NA,NA,NA,NA,NA
12,2018,'Alphen-Chaam','Noord-Brabant',9712,51.509135,4.861589,93.5,93,0.5,0,'green','white',NA,NA,'mountain','comb',NA,'bird','bird','crown',NA,NA,NA,NA,NA
13,2018,'Ameland','Friesland',3565,53.440564,5.658766,268.5,58.8,209.7,0,'blue','yellow','black','white','moon',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
14,2018,'Amersfoort','Utrecht',150943,52.156111,5.387827,63.9,62.9,1,0,'red','white',NA,NA,'cross',NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
15,2018,'Amstelveen','Noord-Holland',85135,52.311421,4.870087,44.1,41.5,2.6,0,'red','black','white',NA,'cross',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2018,'Amsterdam','Noord-Holland',853312,52.370216,4.895168,219.3,165.8,53.6,2,'red','white','black',NA,'cross',NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
17,2018,'Apeldoorn','Gelderland',157535,52.211157,5.969923,341.2,339.9,1.2,0,'red','yellow','white','green','eagle','key',NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2018,'Appingedam','Groningen',12049,53.320678,6.854422,24.6,23.8,0.8,0,'yellow','blue','green','red','pelican',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
19,2018,'Arnhem','Gelderland',150817,51.985103,5.89873,101.5,98,3.6,0,'blue','white',NA,NA,'eagle',NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
20,2018,'Assen','Drenthe',67209,52.992753,6.564228,83.5,81.9,1.5,0,'blue','white',NA,NA,'maria','jesus',NA,'lion','lion','crown',NA,NA,NA,NA,NA
21,2018,'Asten','Noord-Brabant',16479,51.402994,5.744078,71.3,70.2,1.1,0,'white','red','yellow','black','cross',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
22,2018,'Baarle-Nassau','Noord-Brabant',6617,51.445137,4.929523,76.2,76.2,0,0,'blue','white','red','yellow','haystack',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2018,'Baarn','Utrecht',24344,52.213182,5.28641,33,32.5,0.5,0,'blue','yellow',NA,NA,'bishop',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2018,'Barendrecht','Zuid-Holland',47375,51.851509,4.548581,21.7,19.8,1.9,0,'red','white','yellow','green','lion',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2018,'Barneveld','Gelderland',54176,52.162147,5.65536,176.7,176,0.7,0,'blue','yellow','red',NA,'butterfly','plant','sun',NA,NA,NA,NA,NA,NA,NA,NA
26,2018,'Bedum','Groningen',10475,53.301675,6.599829,45,44.6,0.4,0,'yellow','white','blue',NA,'spade','cross','book',NA,NA,'crown',NA,NA,NA,NA,NA
27,2018,'Beek','Limburg',16268,50.939316,5.795647,21,21,0,0,'white','blue',NA,NA,'lion','cross','snake',NA,NA,'crown',NA,NA,NA,NA,NA
28,2018,'Beemster','Noord-Holland',8919,52.547559,4.913332,72.1,70.6,1.5,0,'red','green','yellow','blue','cow','sun',NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2018,'Beesel','Limburg',13593,51.269698,6.046834,29.2,28.1,1,0,'yellow','blue','red','green','dragon',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2018,'Berg en Dal','Gelderland',18956,51.818121,5.920082,44.1,44.1,0,0,'white','red','black','yellow','lion','rose',NA,NA,NA,'crown',NA,NA,NA,NA,NA
31,2018,'Bergeijk','Noord-Brabant',18250,51.319716,5.3575,101.7,101.2,0.6,0,'yellow','blue','white','red','lion','lily',NA,'saint peter','oak','crown',NA,NA,NA,NA,NA
32,2018,'Bergen (L.)','Limburg',13230,51.599866,6.032998,108.5,103.8,4.7,0,'yellow','blue','red',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2018,'Bergen (NH.)','Noord-Holland',30075,52.674937,4.706395,119.5,97.1,22.4,0,'white','blue','orange',NA,'martlet',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
34,2018,'Bergen op Zoom','Noord-Brabant',66423,51.494576,4.287162,93.1,80,13.1,0,'red','white','green','yellow','cross','mountain',NA,'savage','savage','crown',NA,NA,NA,NA,NA
35,2018,'Berkelland','Gelderland',44650,52.115157,6.561501,260.5,258.7,1.8,0,'blue','brown',NA,NA,'greyhound',NA,NA,'lion','lion','crown',NA,NA,NA,NA,NA
36,2018,'Bernheze','Noord-Brabant',29703,51.660272,5.501401,90.4,89.8,0.7,0,'red','white',NA,NA,'reedmace',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
37,2018,'Best','Noord-Brabant',28594,51.507764,5.397848,35.1,34.3,0.8,0,'yellow','black','red',NA,'saint odulphus',NA,NA,NA,NA,'crown',NA,NA,NA,NA,NA
